state,lga,affected_household,affected_individuals,displaced_household,displaced_individuals,esa_source,esa_processed,state_clean,lga_clean,lga_pcode,impact_score,risk_level,PCODE,avg_10day_rainfall,max_10day_rainfall,avg_1month_rainfall,max_1month_rainfall,avg_3month_rainfall,max_3month_rainfall,avg_rainfall_anomaly,max_rainfall_anomaly,avg_1month_anomaly,avg_3month_anomaly,rainfall_std,rainfall_90th_percentile,anomaly_std,extreme_rainfall_days,total_population,log_population
ADAMAWA,DEMSA,1048,6288,499,2994,HDX,2026-04-04,ADAMAWA,DEMSA,NG002001,9282,High,NG002001,24.90625520512048,112.0137,73.13715118987952,245.0548,209.8372671001205,597.7808,99.87015764457831,251.68698,98.97650524096385,98.75846539759037,28.76089548474959,70.753425,29.982474334667454,17,186422.0,12.13577356417958
YOBE,DAMATURU,443,1373,133,476,HDX,2026-04-04,YOBE,DAMATURU,NG036003,1849,Low,NG036003,21.385027925301205,170.0,63.29202192710843,310.34146,183.16926151506024,730.2805,106.78491214457831,245.16232,107.745166686747,110.45911006626507,32.115589344912244,70.292682,33.94592807652933,17,367744.0,12.81514504217819
YOBE,BURSARI,819,4239,442,2462,HDX,2026-04-04,YOBE,BURSARI,NG036002,6701,Medium,NG036002,14.65023458443976,119.259544,43.151154065524096,262.687,125.44670396268071,596.8321,109.22083060843373,283.48624,110.7144503313253,114.9162633313253,25.57404292326591,52.8244265,34.350415284691856,17,221791.0,12.30949528471771
ADAMAWA,NUMAN,1243,6687,402,2052,HDX,2026-04-04,ADAMAWA,NUMAN,NG002016,8739,High,NG002016,23.705027074939757,112.27586,69.63834647939758,262.34482,200.5598269739759,583.7586,98.29866168072289,239.1683,97.00913795783133,96.3469916686747,27.701999835038386,66.6896555,28.793395802960372,17,92476.0,11.434715243933667
BORNO,BIU,529,2769,1106,1396,HDX,2026-04-04,BORNO,BIU,NG008005,4165,Medium,NG008005,26.984173013855422,144.53636,79.5715223126506,331.91818,228.5348869319277,746.2091,99.6615878554217,205.38382,99.21650257228916,98.83908799999999,34.29689981871857,75.304545,25.05069734942839,17,371197.0,12.824490891948633
YOBE,GEIDAM,1065,6961,145,877,HDX,2026-04-04,YOBE,GEIDAM,NG036006,7838,High,NG036006,16.197289308903613,126.645836,47.910600833000004,256.30557,139.05417513652108,622.5694,110.53579216265061,325.72293,112.53316808433735,117.29117978313253,27.035467015327807,54.1944445,38.66043183042925,17,321325.0,12.680211463087394
ADAMAWA,FUFORE,38,145,0,0,HDX,2026-04-04,ADAMAWA,FUFORE,NG002002,145,Low,NG002002,28.86806384143012,124.38028,84.88087517146023,315.02817,242.66180236376385,672.71124,101.57270226506024,235.4129,101.30864939156625,101.7797195,32.46099289841908,79.637325,31.54503605908854,17,457160.0,13.032790905427113
YOBE,NGURU,1026,2880,515,1547,HDX,2026-04-04,YOBE,NGURU,NG036013,4427,Medium,NG036013,15.968373493975903,102.25,46.835278614457835,251.875,134.63836596385542,612.0625,110.39761068072289,379.01547,111.936177,115.90574405421685,26.404527801099768,61.171875,37.98566240546828,17,226979.0,12.33261718685513
ADAMAWA,GIREI,39,195,0,0,HDX,2026-04-04,ADAMAWA,GIREI,NG002004,195,Low,NG002004,30.179819241506024,130.05,88.86495934216867,285.81665,254.9913628927711,720.85,99.62417359036145,256.76422,98.85486639156628,98.52975656024095,33.99741405525907,81.833332,28.617934154007433,17,230313.0,12.347198874234678
YOBE,GUJBA,462,2931,901,6307,HDX,2026-04-04,YOBE,GUJBA,NG036007,9238,High,NG036007,23.43798397506024,179.11607,69.29991406481928,326.5982,199.97192244433737,745.9822,103.46951937951808,217.99118,103.5113071325301,104.88588039156626,32.90040982422296,70.299105,27.37695917295829,17,238948.0,12.38400541902161
